_id,参战情况,图片,数量,类型,口径,名称,生产年限,简介,全枪重,战斗射速,全枪长,有效射程,制造商,大类,发射性能,产国
{'$oid': '5cc93285831b973d657f1be4'},NULL,,NULL,附件,NULL,UGO白天和夜间护目镜,NULL,,NULL,NULL,NULL,NULL,泰利斯光学公司,枪械与单兵,NULL,法国
{'$oid': '5cc93285831b973d657f1be5'},NULL,,NULL,附件,NULL,RM520/540无线收发机,NULL,RM500系列是为警察和安全部队、出租车和救护车等专业无线通信用户设计的新一代移动收发机。该系列无线电性能非常可靠、整体设计非常人性化，并提供高度安全的通信。可集成一个GPS接收器，因此可在图形显示器上自动定位台车。还带一个ERMES寻呼接收器和一个数字式应答/记录器。该系列移动收发机可使用UHF和VHF，可完全集成到大多数PMR和干线无线网络中。它们以最新的技术为基础，提供了诸如提高通信保密度的语音编码、通过内置调制解调器的数据通信、通过串行口和双控制协议，实现对PC的直接访问，使用PC对收发机进行编程，而软件升级为网络设计和将来的扩展提供了灵活性。,NULL,NULL,NULL,NULL,  萨基姆公司防御和安全分部(法国，巴黎),枪械与单兵,NULL,法国
{'$oid': '5cc93285831b973d657f1be6'},NULL,,NULL,附件,NULL,VIGY10海军监视系统,NULL,,NULL,NULL,NULL,NULL,萨基姆公司,枪械与单兵,NULL,法国
{'$oid': '5cc93285831b973d657f1be7'},NULL,,NULL,附件,NULL,马钶沙漠用靴,NULL,,NULL,NULL,NULL,NULL,马钶公司,枪械与单兵,NULL,法国
{'$oid': '5cc93285831b973d657f1be8'},NULL,,NULL,附件,NULL,空降部队帆布背包,NULL,法国空降部队用于伪装的装备。,NULL,NULL,NULL,NULL,马钶公司,枪械与单兵,NULL,法国
{'$oid': '5cc93286831b973d657f1be9'},NULL,,NULL,附件,NULL,军用袜,NULL,"
 
",NULL,NULL,NULL,NULL,Christos J Kourtoglou公司,枪械与单兵,NULL,希腊
{'$oid': '5cc93286831b973d657f1bea'},NULL,,NULL,附件,NULL,828式空降兵头盔,NULL,"
空降828是一种高性能防弹系统，专为满足空降部队特殊要求而开发。抱头式壳体的设计可降低挂住绳索和缠绕的风险。适合“高跳低开”和“高跳高开”(HALO，HAHO)，即便处于卧姿射击位置时，也不会影响视力，重量轻且具有较高的防弹能力。
",NULL,NULL,NULL,NULL,Schuberth Helme GmbH,枪械与单兵,NULL,德国
{'$oid': '5cc93286831b973d657f1beb'},NULL,,3500,附件,NULL,MATIS MP手持式第三代热成像仪,NULL,MATIS MP是SAGEM MATIS系列第三代热成像仪中的一员，它基于最新一代工作于3～5微米波段的冷却设备。重量轻，外形紧凑，MATIS MP用于白天和夜间短或长距离的观察。,NULL,NULL,NULL,NULL,萨基姆公司,枪械与单兵,NULL,法国
{'$oid': '5cc93286831b973d657f1bec'},NULL,,NULL,附件,NULL,EL/S-e8811车载战术视频接受终端,NULL,,NULL,NULL,NULL,NULL, 艾尔塔电子工业公司(以色列）,枪械与单兵,NULL,以色列
{'$oid': '5cc93286831b973d657f1bed'},NULL,,NULL,附件,NULL,空降攻击背包,NULL,该承载背包专为从事秘密军事行动而设计，具有两个水平的压缩带，以减小负载的移动，简洁的外形可以减少发生挂扯的危险。,NULL,NULL,NULL,NULL,飞鹰工业公司(美国，密苏里州),枪械与单兵,NULL,美国
{'$oid': '5cc93286831b973d657f1bee'},NULL,,NULL,附件,NULL,A-Ⅲ医疗背包,NULL,A-III医疗背包是一种中型无框架背包，打开后可以将医疗设备完全展示出来，以便于快速取用。,NULL,NULL,NULL,NULL,飞鹰工业公司(美国，密苏里州),枪械与单兵,NULL,美国
{'$oid': '5cc93287831b973d657f1bef'},NULL,,NULL,附件,NULL,施玛篇头饰,NULL,施玛篇(shemagh)用户众多，自北极到沙漠的特种部队和其他人员均有佩带。承包商可从各种渠道购买。,NULL,NULL,NULL,NULL,NULL,枪械与单兵,NULL,美国
{'$oid': '5cc93287831b973d657f1bf0'},NULL,,NULL,附件,NULL,END200型战斗武装袋,NULL,,NULL,NULL,NULL,NULL,Enfymatotexniki公司,枪械与单兵,NULL,希腊
{'$oid': '5cc93287831b973d657f1bf1'},NULL,,NULL,附件,NULL,镁框架雪鞋,NULL,"
这些雪鞋由与尼龙涂层钢缆系在一起的镁框架构成。捆绑物是25毫米的白色尼龙带，带有四个带扣调整器，将雪鞋与靴子连在一起。
",NULL,NULL,NULL,NULL,NULL,枪械与单兵,NULL,美国
{'$oid': '5cc93287831b973d657f1bf2'},NULL,,NULL,附件,NULL,环境袜子系列,NULL,这是一个多袜系列，它由Coolmax衬里袜和两个反毛绒和聚丙烯混合靴袜构成。衬里和外部袜子必须一起穿才能使系统起作用。Coolmax衬里通过毛细作用将潮气从脚部带走，使脚部保持干燥，同时也减小了细菌感染的危险。极端天气靴袜使用高密度毛绒制作，它为了承受最大负荷条件而设计并提供一流的隔离性能。全天候靴袜是亚极限条件的轻型袜。据制造商称，袜子系统的作用就是使在帆布包中需要带的袜子少些。所需要的是三双Coolmax衬袜和两双外袜。,NULL,NULL,NULL,NULL,NULL,枪械与单兵,NULL,美国
{'$oid': '5cc93287831b973d657f1bf3'},NULL,,NULL,附件,NULL,小艇内部通信系统,NULL,,NULL,NULL,NULL,NULL,NULL,枪械与单兵,NULL,美国
{'$oid': '5cc93287831b973d657f1bf4'},NULL,,NULL,附件,NULL,伞兵转换套件,NULL,“伞兵转换套件”是美军针对所有单兵个人防护系统型战斗头盔的标准发放套件。包括后部的泡沫颈部垫和汇集现有颚带的维持系带，以便进一步稳定头盔。集合很快，松开头盔后面的一个螺钉，集合衬垫和系带。保持带的活动端使用粘接搭扣与颚带相连。,NULL,NULL,NULL,NULL,PA特殊塑料产品公司(美国),枪械与单兵,NULL,美国
{'$oid': '5cc93288831b973d657f1bf5'},NULL,,NULL,附件,NULL,免遭窃听的小型手持式无线电,NULL,,NULL,NULL,NULL,NULL,NULL,枪械与单兵,NULL,美国
{'$oid': '5cc93288831b973d657f1bf6'},NULL,,NULL,附件,NULL,"""美洲狮2000""安全无线电",NULL,"“美洲狮2000”的设计使其能够提供一种用于军事、准军事和民用的高水平安全通信网络。“美洲狮2000”安全无线电(英国)Cougar 2000 ""Safety Radio“美洲狮2000”安全无线电(1)和“美洲狮2000”网络无线电组合(2)基于各频道要求，功率输出在1.5～5W的范围内是可变的。",NULL,NULL,NULL,NULL,泰利斯通信公司(英国，克劳利）,枪械与单兵,NULL,英国
{'$oid': '5cc93288831b973d657f1bf7'},NULL,,NULL,附件,NULL,Cougarnet通信系统,NULL,Cougarnet是一种工作于全FM频段的安全无线电系统。它由不同配置的“美洲狮”手持装置和Cougarnet基站组成。,NULL,NULL,NULL,NULL,泰利斯通信公司(英国，克劳利）,枪械与单兵,NULL,英国
{'$oid': '5cc93288831b973d657f1bf8'},NULL,,NULL,附件,NULL,Secrette头戴式耳机,NULL,Secrette头戴式耳机为单耳机型头戴式耳机，提供给交战、安全和SWAT单位，有两种形式。咽喉麦克风有一个皮垫，用一个可调弹性分离带固定在颈部。整个头戴式耳机能够防水，并且被水浸湿后不受影响。,NULL,NULL,NULL,NULL,NULL,枪械与单兵,NULL,美国
{'$oid': '5cc93288831b973d657f1bf9'},NULL,,NULL,附件,NULL,FBP手枪消音器,NULL,,NULL,NULL,NULL,NULL,鲁加-托梅公司(瑞士，史毕兹布),枪械与单兵,NULL,瑞士
{'$oid': '5cc93288831b973d657f1bfa'},NULL,http://images.huanqiu.com/sarons/2013/11/bf64c12d3f9090bb292602cd768509bd.jpg,NULL,附件,35毫米,SOPS突击步枪消减器,NULL,,NULL,NULL,NULL,NULL,布鲁加—托梅公司(瑞士，史毕兹),枪械与单兵,NULL,瑞士
{'$oid': '5cc93289831b973d657f1bfb'},NULL,,NULL,附件,5.56毫米,M4A1室内近距离作战（CQB）武器,NULL,"
M4A1 CQB武器可以使用特种作战特殊规格M4A1附件套装(SOPMOD M4A1 Kit)，该套装由海军水面武器基地研制，其优点之一是适应性强。每个陆军“A”支队三套SOPMOD M4A1附件，每个“B”支队四套，每个海豹突击队排四套，每个特种战术小组三套。派发给美国陆军突击队和其他特种任务部队的是精选的若干附件而非一整套附件。
",3.6千克,900发/分,838毫米,800米,柯尔特制造有限公司(美国，康涅狄格州),枪械与单兵,导气式，可选射击模式,美国
{'$oid': '5cc93289831b973d657f1bfc'},NULL,http://images.huanqiu.com/sarons/2013/11/95a97e10559151a1f75a8238ce942a22.jpg,NULL,附件,小口径,奈特军械公司5.56毫米模块化武器系统,NULL,,NULL,NULL,NULL,NULL,奈特军械公司（美国，佛罗里达州）,枪械与单兵,NULL,美国
{'$oid': '5cc93289831b973d657f1bfd'},NULL,,NULL,附件,NULL,MK23消音器,NULL,,NULL,NULL,NULL,NULL,耐特军械公(美国，福罗里达州),枪械与单兵,NULL,美国
{'$oid': '5cc93289831b973d657f1bfe'},NULL,,NULL,附件,NULL,CT400突击通信系统,NULL,CT400突击通信系统由戴维斯公司通信系统公司(英国)设计和制造，是一种专型通信设备和音频附件，配合世界上最新型数字无线电系统工作。,NULL,NULL,NULL,NULL,戴维斯(Davies)工业通信公司(英国),枪械与单兵,NULL,英国
